Era,Feature,Base,Lag,r,p,sig,n,target
Full,finbert_MP_mean:lag10,finbert_MP_mean,10,0.448,0.0009,***,52,MRO_diff
Full,finbert_MP_mean:lag11,finbert_MP_mean,11,0.3277,0.0189,*,51,MRO_diff
Full,finbert_MP_mean:lag12,finbert_MP_mean,12,0.3163,0.0237,*,51,MRO_diff
Full,finbert_MP_mean:lag13,finbert_MP_mean,13,0.3625,0.0089,**,51,MRO_diff
Full,finbert_MP_mean:lag14,finbert_MP_mean,14,0.2662,0.0617,,50,MRO_diff
Full,finbert_MP_mean:lag15,finbert_MP_mean,15,0.3637,0.0102,*,49,MRO_diff
Full,roberta_IS_EP_max:lag1,roberta_IS_EP_max,1,0.3731,0.0059,**,53,MRO_diff
Full,roberta_IS_EP_max:lag2,roberta_IS_EP_max,2,0.5869,0.0,***,53,MRO_diff
Full,roberta_IS_EP_max:lag3,roberta_IS_EP_max,3,0.5326,0.0,***,53,MRO_diff
Full,roberta_IS_EP_max:lag4,roberta_IS_EP_max,4,0.4692,0.0004,***,53,MRO_diff
Full,roberta_IS_EP_max:lag5,roberta_IS_EP_max,5,0.5019,0.0001,***,52,MRO_diff
Full,roberta_IS_EP_max:lag6,roberta_IS_EP_max,6,0.2637,0.0589,,52,MRO_diff
Full,roberta_IS_EP_max:lag7,roberta_IS_EP_max,7,0.3715,0.0067,**,52,MRO_diff
Full,roberta_IS_EP_max:lag8,roberta_IS_EP_max,8,0.3045,0.0282,*,52,MRO_diff
Full,roberta_IS_EP_max:lag9,roberta_IS_EP_max,9,0.3338,0.0156,*,52,MRO_diff
Full,roberta_IS_EP_max:lag10,roberta_IS_EP_max,10,0.0841,0.5533,,52,MRO_diff
Full,roberta_IS_EP_max:lag11,roberta_IS_EP_max,11,-0.0474,0.7411,,51,MRO_diff
Full,roberta_IS_EP_max:lag12,roberta_IS_EP_max,12,-0.0655,0.6481,,51,MRO_diff
Full,roberta_IS_EP_max:lag13,roberta_IS_EP_max,13,-0.0129,0.9282,,51,MRO_diff
Full,roberta_IS_EP_max:lag14,roberta_IS_EP_max,14,-0.0509,0.7257,,50,MRO_diff
Full,roberta_IS_EP_max:lag15,roberta_IS_EP_max,15,0.0819,0.5757,,49,MRO_diff
Full,finbert_QA_MP_mean:lag1,finbert_QA_MP_mean,1,0.4137,0.0021,**,53,MRO_diff
Full,finbert_QA_MP_mean:lag2,finbert_QA_MP_mean,2,0.4297,0.0013,**,53,MRO_diff
Full,finbert_QA_MP_mean:lag3,finbert_QA_MP_mean,3,0.3336,0.0146,*,53,MRO_diff
Full,finbert_QA_MP_mean:lag4,finbert_QA_MP_mean,4,0.5644,0.0,***,53,MRO_diff
Full,finbert_QA_MP_mean:lag5,finbert_QA_MP_mean,5,0.3618,0.0084,**,52,MRO_diff
Full,finbert_QA_MP_mean:lag6,finbert_QA_MP_mean,6,0.3193,0.021,*,52,MRO_diff
Full,finbert_QA_MP_mean:lag7,finbert_QA_MP_mean,7,0.3686,0.0072,**,52,MRO_diff
Full,finbert_QA_MP_mean:lag8,finbert_QA_MP_mean,8,0.3697,0.007,**,52,MRO_diff
Full,finbert_QA_MP_mean:lag9,finbert_QA_MP_mean,9,0.0386,0.7858,,52,MRO_diff
Full,finbert_QA_MP_mean:lag10,finbert_QA_MP_mean,10,0.2198,0.1175,,52,MRO_diff
Full,finbert_QA_MP_mean:lag11,finbert_QA_MP_mean,11,0.1656,0.2504,,50,MRO_diff
Full,finbert_QA_MP_mean:lag12,finbert_QA_MP_mean,12,0.1542,0.2901,,49,MRO_diff
Full,finbert_QA_MP_mean:lag13,finbert_QA_MP_mean,13,0.1303,0.3621,,51,MRO_diff
Full,finbert_QA_MP_mean:lag14,finbert_QA_MP_mean,14,0.0921,0.5289,,49,MRO_diff
Full,finbert_QA_MP_mean:lag15,finbert_QA_MP_mean,15,0.0342,0.8194,,47,MRO_diff
Pre-ZLB,finbert_max,finbert_max,0,0.554,0.0008,***,33,MRO_diff
Pre-ZLB,finbert_IS_max,finbert_IS_max,0,0.5565,0.0008,***,33,MRO_diff
Pre-ZLB,roberta_IS_max,roberta_IS_max,0,0.7436,0.0,***,33,MRO_diff
Pre-ZLB,finbert_MP_mean,finbert_MP_mean,0,0.6198,0.0001,***,33,MRO_diff
Pre-ZLB,roberta_IS_EP_max,roberta_IS_EP_max,0,0.758,0.0,***,33,MRO_diff
Pre-ZLB,finbert_QA_MP_mean,finbert_QA_MP_mean,0,0.3091,0.0801,,33,MRO_diff
Pre-ZLB,finbert_max:lag1,finbert_max,1,0.5583,0.0007,***,33,MRO_diff
Pre-ZLB,finbert_max:lag2,finbert_max,2,0.6394,0.0001,***,33,MRO_diff
Pre-ZLB,finbert_max:lag3,finbert_max,3,0.4981,0.0032,**,33,MRO_diff
Pre-ZLB,finbert_max:lag4,finbert_max,4,0.4886,0.0039,**,33,MRO_diff
Pre-ZLB,finbert_max:lag5,finbert_max,5,0.5614,0.0008,***,32,MRO_diff
Pre-ZLB,finbert_max:lag6,finbert_max,6,0.0964,0.5996,,32,MRO_diff
Pre-ZLB,finbert_max:lag7,finbert_max,7,0.2906,0.1067,,32,MRO_diff
Pre-ZLB,finbert_max:lag8,finbert_max,8,0.3525,0.0478,*,32,MRO_diff
Pre-ZLB,finbert_max:lag9,finbert_max,9,-0.1519,0.4065,,32,MRO_diff
Pre-ZLB,finbert_max:lag10,finbert_max,10,0.1352,0.4608,,32,MRO_diff
Pre-ZLB,finbert_max:lag11,finbert_max,11,0.0172,0.927,,31,MRO_diff
Pre-ZLB,finbert_max:lag12,finbert_max,12,-0.1633,0.3801,,31,MRO_diff
Pre-ZLB,finbert_max:lag13,finbert_max,13,-0.0987,0.5972,,31,MRO_diff
Pre-ZLB,finbert_max:lag14,finbert_max,14,-0.267,0.1538,,30,MRO_diff
Pre-ZLB,finbert_max:lag15,finbert_max,15,0.0102,0.958,,29,MRO_diff
Pre-ZLB,finbert_IS_max:lag1,finbert_IS_max,1,0.5564,0.0008,***,33,MRO_diff
Pre-ZLB,finbert_IS_max:lag2,finbert_IS_max,2,0.6811,0.0,***,33,MRO_diff
Pre-ZLB,finbert_IS_max:lag3,finbert_IS_max,3,0.5326,0.0014,**,33,MRO_diff
Pre-ZLB,finbert_IS_max:lag4,finbert_IS_max,4,0.5216,0.0019,**,33,MRO_diff
Pre-ZLB,finbert_IS_max:lag5,finbert_IS_max,5,0.5614,0.0008,***,32,MRO_diff
Pre-ZLB,finbert_IS_max:lag6,finbert_IS_max,6,0.1751,0.3378,,32,MRO_diff
Pre-ZLB,finbert_IS_max:lag7,finbert_IS_max,7,0.3958,0.0249,*,32,MRO_diff
Pre-ZLB,finbert_IS_max:lag8,finbert_IS_max,8,0.0646,0.7254,,32,MRO_diff
Pre-ZLB,finbert_IS_max:lag9,finbert_IS_max,9,-0.128,0.4851,,32,MRO_diff
Pre-ZLB,finbert_IS_max:lag10,finbert_IS_max,10,0.1937,0.2882,,32,MRO_diff
Pre-ZLB,finbert_IS_max:lag11,finbert_IS_max,11,-0.0805,0.667,,31,MRO_diff
Pre-ZLB,finbert_IS_max:lag12,finbert_IS_max,12,-0.1848,0.3195,,31,MRO_diff
Pre-ZLB,finbert_IS_max:lag13,finbert_IS_max,13,-0.1048,0.5747,,31,MRO_diff
Pre-ZLB,finbert_IS_max:lag14,finbert_IS_max,14,-0.3068,0.0991,,30,MRO_diff
Pre-ZLB,finbert_IS_max:lag15,finbert_IS_max,15,-0.0026,0.9894,,29,MRO_diff
Pre-ZLB,roberta_IS_max:lag1,roberta_IS_max,1,0.6196,0.0001,***,33,MRO_diff
Pre-ZLB,roberta_IS_max:lag2,roberta_IS_max,2,0.7779,0.0,***,33,MRO_diff
Pre-ZLB,roberta_IS_max:lag3,roberta_IS_max,3,0.7003,0.0,***,33,MRO_diff
Pre-ZLB,roberta_IS_max:lag4,roberta_IS_max,4,0.5435,0.0011,**,33,MRO_diff
Pre-ZLB,roberta_IS_max:lag5,roberta_IS_max,5,0.5542,0.001,***,32,MRO_diff
Pre-ZLB,roberta_IS_max:lag6,roberta_IS_max,6,0.1538,0.4006,,32,MRO_diff
Pre-ZLB,roberta_IS_max:lag7,roberta_IS_max,7,0.3103,0.0839,,32,MRO_diff
Pre-ZLB,roberta_IS_max:lag8,roberta_IS_max,8,0.0487,0.7912,,32,MRO_diff
Pre-ZLB,roberta_IS_max:lag9,roberta_IS_max,9,0.1633,0.3719,,32,MRO_diff
Pre-ZLB,roberta_IS_max:lag10,roberta_IS_max,10,-0.0161,0.9302,,32,MRO_diff
Pre-ZLB,roberta_IS_max:lag11,roberta_IS_max,11,-0.0537,0.774,,31,MRO_diff
Pre-ZLB,roberta_IS_max:lag12,roberta_IS_max,12,-0.1512,0.4169,,31,MRO_diff
Pre-ZLB,roberta_IS_max:lag13,roberta_IS_max,13,-0.1635,0.3793,,31,MRO_diff
Pre-ZLB,roberta_IS_max:lag14,roberta_IS_max,14,-0.2594,0.1662,,30,MRO_diff
Pre-ZLB,roberta_IS_max:lag15,roberta_IS_max,15,0.0482,0.8038,,29,MRO_diff
Pre-ZLB,finbert_MP_mean:lag1,finbert_MP_mean,1,0.7143,0.0,***,33,MRO_diff
Pre-ZLB,finbert_MP_mean:lag2,finbert_MP_mean,2,0.5915,0.0003,***,33,MRO_diff
Pre-ZLB,finbert_MP_mean:lag3,finbert_MP_mean,3,0.4692,0.0059,**,33,MRO_diff
Pre-ZLB,finbert_MP_mean:lag4,finbert_MP_mean,4,0.7139,0.0,***,33,MRO_diff
Pre-ZLB,finbert_MP_mean:lag5,finbert_MP_mean,5,0.3371,0.0592,,32,MRO_diff
Pre-ZLB,finbert_MP_mean:lag6,finbert_MP_mean,6,0.5339,0.0016,**,32,MRO_diff
Pre-ZLB,finbert_MP_mean:lag7,finbert_MP_mean,7,0.4681,0.0069,**,32,MRO_diff
Pre-ZLB,finbert_MP_mean:lag8,finbert_MP_mean,8,0.3583,0.0441,*,32,MRO_diff
Pre-ZLB,finbert_MP_mean:lag9,finbert_MP_mean,9,0.1287,0.4826,,32,MRO_diff
Pre-ZLB,finbert_MP_mean:lag10,finbert_MP_mean,10,0.2893,0.1083,,32,MRO_diff
Pre-ZLB,finbert_MP_mean:lag11,finbert_MP_mean,11,0.1724,0.3537,,31,MRO_diff
Pre-ZLB,finbert_MP_mean:lag12,finbert_MP_mean,12,0.1267,0.4969,,31,MRO_diff
