Topic,Code,Mean,Std,Min,Max
Monetary Policy & Inflation,MP,-0.3039208068138438,0.1380213131796054,-0.639001391561968,0.06012704862015588
Economic Performance,EP,-0.16439353741467935,0.2619722755872564,-0.816416340880096,0.5480106342583895
Fiscal & Structural,FS,-0.26854504784903194,0.3814486301181843,-0.9649956952780485,0.8782074116170406
Other / Irrelevant,OI,-0.27046831856913994,0.17519373509561262,-0.7307896167039871,0.44843053817749023
