word_limit,correlation,avg_std,n_meetings,score
1,0.7265396617115829,0.5061841921236689,273,1.4353266518723635
50,0.7161252214870657,0.5092958639468591,273,1.4061084571497473
100,0.6762341982352659,0.4736708668468659,273,1.4276457463741108
150,0.644819987154204,0.45147461541981293,273,1.4282530293637992
200,0.6158829114954796,0.4435349636935948,273,1.3885780421156315
250,0.6021519898776622,0.4412564968333055,273,1.3646303095796424
300,0.5989181191252132,0.44063624360554027,273,1.3592121116150573
350,0.5893445372229718,0.4412313960673261,273,1.3356813283818216
