limit,kappa,raw_agreement,n_chunks
1,0.07006626962145734,0.15503845186567658,75549
50,0.09980902596257535,0.19011124845488256,40450
200,0.1545628585238935,0.27806218677587974,18557
350,0.15654396318497654,0.2820058322374064,17489
