Model,Section,Mean,Std,Min,Max,IQR,Count
FINBERT,IS,0.208922273598485,0.22357058485608244,-0.34823638331145046,0.705240736156702,0.29060534737613986,286
FINBERT,QA,0.05342384827392462,0.07192951354878711,-0.14955208756029606,0.27296338171105494,0.09345676295456527,286
ROBERTA,IS,-0.13880971204089398,0.19270859906886087,-0.6225396773467461,0.6490378653009733,0.2605625300045015,286
ROBERTA,QA,-0.33776695603744833,0.124363366575328,-0.5974179936403577,0.010189323623975118,0.17383811306559466,286
