model,limit,time
finbert,50,192.69297194480896
finbert,100,152.9107484817505
finbert,150,145.75104928016663
finbert,200,142.02756428718567
finbert,250,132.3738715648651
finbert,300,130.55300784111023
finbert,350,132.0457239151001
roberta,50,197.3668270111084
roberta,100,150.73407816886902
roberta,150,138.822669506073
roberta,200,133.35038924217224
roberta,250,130.43282556533813
roberta,300,130.4761095046997
roberta,350,131.2352797985077
